,Unnamed: 0,enrollee_id,city,city_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,Additional Info,Approval
45,45,29242,21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5.0,100-500,Pvt Ltd,1.0,49,"I am having 1 year work experience in service development. My role as a Software Developer, which enabled me to get familiar with each step of Agile / SDLC. I am having work experience of spring, Hibernate framework with distributed technology JAX-RS. 
 
Key Area of work: 
 
 Hand on Experience in Java, Spring-Boot, Hibernate, Spring Framework (Core Spring, IOC, AOP, Transaction, JDBC, MVC, Security, spring-Boot, ORM). 
 
 Worked on spring integration with hibernate. 
 Extensive experience in using MVC (Model View Controller) Architecture. 
 Having good exposer in writing the persistence layer using ORM tool Hibernate. 
 Good experience of developing data modeling using hibernate Entities and configure Hibernate persistence layer. 
 
 Developed Restful Web Services (Resource and Client). 
 Have experience on Angular 6 
 
Software Skill: 
 
 Languages / Platforms : Java 1.8. 
 Frameworks : Spring 5.0, Core Spring, JDBC, Spring Transactions, Spring MVC, Hibernate 5.0, JPA, Spring- Boot, Spring-security. 
 Database : MySQL, Oracle12C. 
 IDE/Tools : Eclipse, STS, Junit, Log4j, Maven, JIRA, SonarQube, Git. 
 Web Server : Apache Tomcat 
 Testing Tools : Postman 
 Web Technologies : Angular 6, JSON, HTML, CSS, Java-Script, XML 
 Distributed Technologies : Java Web Services (JAX-RS).",2
46,46,6312,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,1.0,270,"I would like to be a trainee in your prestigious organization. I want to utilize my skills and knowledge for the company. And also like to be appreciated for my best performance. 
 
PERSONAL STRENGTH: 
 
 Good understanding ability. 
 Ability to work in a team. 
 Self -motivated person.",1
47,47,113,16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6.0,1000-4999,Pvt Ltd,1.0,23," Possesses 6 months of project experience from Ducat. 
 Hands on experience in Core Spring and Hibernate Frameworks. 
 Hands on experience in Core Java, Collections API, JDBC, Servlet, JSP. 
 Hands on experience in using Tomcat Servers. 
 Knowledge of Eclipse tool for the development of Java web based projects.",2
48,48,14685,114,0.9259999999999999,Male,No relevent experience,Full time course,Masters,STEM,3.0,10/49,Pvt Ltd,1.0,35," Java Developer with 3.8 years of IT experience in Application design for Healthcare domain (US Healthcare). 
 Certified full stack developer with React JS Specialization. 
 Core areas of expertise -Core Java, Spring Boot, Spring MVCSpring Batch, Spring Framework, Struts2 
framework, Oracle database, Hibernate, Rest and SOAP Web Services",2
49,49,20768,90,0.698,Male,No relevent experience,Full time course,High School,,2.0,,,0.0,87,NONE,2
50,50,25906,28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,19.0,50-99,Pvt Ltd,1.0,37,NONE,2
51,51,20142,104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,50-99,Pvt Ltd,1.0,158,NONE,2
52,52,25891,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,10000+,Pvt Ltd,4.0,8,NONE,2
53,53,4742,149,0.6890000000000001,,No relevent experience,no_enrollment,,,2.0,,,,114,"Intend to build a career with leading corporate of High-Technology environment work as software developer and want to utilize my potential. 
 
Work on Project 
Project Name Doorstep Services 
Team 3 members 
Duration 2 months 
Technology C# dot net 
Description It is a web based application by using ASP.Net. This website is 
used to make order and receive local services from home like 
tutors, restaurant, food, dancing class, yoga class, photographer 
etc. It makes the life easier and save time. 
 
Project Name Voil 
Technology Java,mongoDB,jquery,html,jsp,css 
Description It is a site for blog writing. I have worked on admin panel, 
contentwriter panel and user panel.Contentwriter create a  
blog with image and video. And admin keep all records and  
approve blog. 
 
Project Name Education 
Technology Html, css, jsp 
Description It is static site. I modified some pages. And Created new  
pages Using html and jsp. 
 
Project Name Teckcheker 
Technology Java, Mvc,Mysql, hibernate,html, css, javascript, jquery 
Description This is a site for mobile parts quality testing. I have done  
Excel downloading from database using Apache POI. 
Also I have created some pages edit list and validation part  
on all pages.",2
54,54,2222,105,0.794,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14.0,100-500,Pvt Ltd,1.0,15,"I am a 31 year old geek who loves science & technology (not just programming) and currently a professional Java Developer. 
My love for programming started during my primary school days, when I read a book on Visual Basic, my first programming language. 
Currently working as a freelancer, with Backend Development primarily and App development secondarily. 
I know it is uncommon to praise oneself, but I would say I can easily gel with any type of team quickly. I keep communication as my top priority, because I believe in the team, as without it there is no such thing as a team. 
I am a very dedicated person and problem solver, these traits enabled me to think out of the box.",2
55,55,16917,103,0.92,,No relevent experience,Full time course,High School,,1.0,,,1.0,48,My goal is to become associated with a company where I can utilize my skills and gain further experience while enhancing the company's productivity and reputation.,2
56,56,10493,21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,8.0,1000-4999,Pvt Ltd,2.0,40," Around 6+ months of Software development. 
 
 Worked as Java Developer in Jindal Steel & Power Ltd. 
 
 Working on spring, Hibernate (ORM) Framework, Java, MySQL. 
 
 Skill to implement JavaScript, AngularJS in UI. 
 
 Compatible to work with various operating system like Windows.",2
57,57,10418,76,0.698,Male,Has relevent experience,no_enrollment,,,7.0,100-500,Pvt Ltd,4.0,91,"Seeking the position to utilize Java Programming skills and abilities in the I.T industry that offers professional growth while being resourceful, innovative and flexible.",2
58,58,9766,83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,1000-4999,Pvt Ltd,2.0,14,"Dada patilwadi, Thane west",2
59,59,1361,103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,5.0,,,1.0,132,To work with a company this appreciates smart work and creativity so that I can utilize my knowledge and skills to give my best for the growth of the company as well as to gain practical experience.,2
60,60,19625,97,0.925,Male,Has relevent experience,no_enrollment,High School,,7.0,50-99,Pvt Ltd,1.0,31,"Good knowledge in Java/J2EE Technology (JSP, Servlet). 
 
Hardware & Networking, MS-office 
 
Technology Competencies: 
 
Languages: C, C++, JAVA 
Server Technologies: JSP, Servlet, HTML, 
Databases: MySQL 5.5 
Web Servers: Tomcat 8 
Platforms: Window XP/7/8/10 
Editor: NetBeans IDE 8.1, Text Editor, STS. 
Framework: Spring 
Scripting Language: Java Script",2
61,61,20943,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,10000+,Pvt Ltd,4.0,8,"CAREER HIGHLIGHTS 
 
 Working Experience in Java Development. 
 Interact with client to identify the requirement and develop them 
 Providing java session to the team on regular basis 
 Attending spring meetings regularly 
 Creates product builds for testing and distribution 
 Debugging (Xcode preferred) and problem solving skills 
 Working side by side with designers to bring interfaces 
 Successfully completed unit testing during development phase 
 
TECHNICAL SKILLS 
 
 Primary programming Language - Core Java, Spring boot, Angular Js, 
React Js, JSP and Servlets 
 Database - MySql, Restful Web Service 
 Developed test classes in JUnit for unit testing 
 Integrated Spring Security to validate the users. 
 Used Rest Controller in Spring framework to create RESTful Web services and 
JSON objects for communication 
 Created DAO classes to implement CRUD operations by using JDBC transac- 
tions 
Core Competence 
 
PERSONAL STRENGTHS AND ACHIEVEMENTS 
 
 Possess Good Management And Organizational Skill. 
 A Good Team player.",2
62,62,9561,28,0.9390000000000001,,Has relevent experience,no_enrollment,Masters,STEM,19.0,,,2.0,72,Seeking A Position Where My Technical And Non-Technical Skills Are Utilized And Enhanced To Growth Of The Company.,1
63,63,4271,13,0.8270000000000001,,Has relevent experience,,Graduate,STEM,5.0, 10,Pvt Ltd,2.0,74,"Seeking a position to utilize my skills and abilities in a company that offers professional growth while being resourceful, innovative and flexible. I am highly self motivated, hard working and enthusiasm person. I am also social service person with nationwide cancer control programme. I have done the certification course in Java and Oracle.",2
64,64,2094,64,0.6659999999999999,Female,Has relevent experience,no_enrollment,Graduate,STEM,18.0,100-500,Pvt Ltd,4.0,43,To join a company/organization which helps to improve my skills and own creativity that I can learn more and contribute myself which lead to growth of organization.,2
65,65,16931,31,0.807,Male,Has relevent experience,no_enrollment,Graduate,STEM,15.0,,,4.0,134,"To work in a competitive environment that effectively utilizes my analytical, interpersonal, leadership and organizational skills to conceive and achieve solutions. The solutions which help the organization in not only meeting its targets, but also allowing it to grow, thereby, enhancing my own skills as an individual and as a key player in the organization's development.",2
66,66,27298,21,0.624,Male,No relevent experience,no_enrollment,Graduate,Arts,5.0, 10,Early Stage Startup,0.0,18,NONE,2
67,67,26493,136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8.0,,Public Sector,1.0,124,To gain employment with a company that offers me a consistently positive atmosphere to learn new technologies and implement them for the betterment of the business.,2
68,68,30745,19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,8.0,,,3.0,80,NONE,2
69,69,21052,90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,2.0,,,0.0,9," Fresher, Graduating in 2020 with training in Java (core Advance). 
 Created web applications some java application during training. 
 Key Skills are Java, C language, SQL.",2
70,70,20723,11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,1.0,50-99,Pvt Ltd,1.0,188," Completed Java Course with Self Learning 
 Hands on Experience in IDE Tools (Eclipse) 
 Extensive Knowledge in Core Java 
 Good in Web Technologies 
 Having a basic knowledge in MySQL database",2
71,71,13539,143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0, 10,Pvt Ltd,2.0,182,"A Full Stack Developer with specialized skills in Java and JavaScript looking for full-time employment. 
 
Diverse experience utilizing Java tools in business, Web, and client-server environments including 
Enterprise Edition ( Java EE), Java Server Pages (JSP), Java Servlets, Struts, Hibernate and Java database 
Connectivity (JDBC) technologies.",2
72,72,3214,16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,1000-4999,Pvt Ltd,4.0,282,NONE,1
73,73,16230,103,0.92,,No relevent experience,Full time course,High School,,1.0,,,0.0,84,NONE,2
74,74,25300,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.0, 10,Early Stage Startup,1.0,59,NONE,2
75,75,24018,11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3.0,10/49,Pvt Ltd,1.0,116,To secure a challenging position in an organization that utilizes my engineering and analytical skills in overall growth of that organization.,2
76,76,21833,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,50-99,Pvt Ltd,4.0,34," Always ready to learn new technology. 
 Respond positively to challenges and pressure.",2
77,77,30632,114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,12.0,50-99,Pvt Ltd,2.0,64,"I am seeking a company where I can use my experience and education to help the organisation meet 
and surpass its goals.",2
78,78,4334,103,0.92,Male,Has relevent experience,,High School,,9.0,,,2.0,19,NONE,2
79,79,22271,100,0.887,Male,No relevent experience,Full time course,Graduate,Other,15.0,,,3.0,77,"To continuously enhance my knowledge, skills and experience by getting involved in challenging work environment and utilize them for personal and organizational growth to the best of my ability.",2
80,80,28776,114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,10000+,Pvt Ltd,4.0,56,"Career oriented, trained and professional on Java/J2ee development. Looking for opportunity to enhance 
my technical skills to next level in IT industry. I am always interested to learn new technologies and skills 
used in application development.",1
81,81,27769,21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2.0,,,1.0,73,"To enhance my working capacities, professional skills, business efficiencies and to serve my 
organization in the best possible way with sheer determination and commitment.",2
82,82,25909,67,0.855,,Has relevent experience,no_enrollment,Masters,STEM,15.0,100-500,Pvt Ltd,4.0,30,NONE,2
83,83,31266,114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9.0,500-999,Pvt Ltd,4.0,66,NONE,2
84,84,7973,114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,14.0,10000+,Pvt Ltd,1.0,10,To perceive a career in a renowned firm with dedicated efforts and to associate myself with an organization that gives me a chance to update my knowledge.,2
85,85,30867,21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3.0,100-500,Pvt Ltd,1.0,100,2 years experience of software engineer.,2
86,86,22501,75,0.9390000000000001,Male,Has relevent experience,no_enrollment,,,19.0,10/49,Pvt Ltd,4.0,32," Having 3+ years of experience in software development using Java/J2EE Technologies 
 Good knowledge of Object-Oriented Programming concepts (Oops) 
 Good knowledge of Core Java, Exception Handling, Collection Frameworks. 
 Good knowledge of working with Spring, Hibernate 
 Hands on experience in using Apache Tomcat server 
 Hands on experience in using Eclipse, Maven, GIT hub 
 Knowledge of Oracle 11g. Database 
 Knowledge of Web Services 
 Adaptive to learn new technologies.",2
87,87,2539,13,0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,10.0,10000+,Pvt Ltd,4.0,29,NONE,2
88,88,26681,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,20.0,10000+,Pvt Ltd,3.0,8,NONE,2
89,89,16184,127,0.745,,No relevent experience,Full time course,High School,,1.0,,,0.0,77,Fresher,2
90,90,3852,103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,1000-4999,Pvt Ltd,4.0,28,NONE,2
91,91,1680,19,0.682,Male,Has relevent experience,no_enrollment,Masters,STEM,19.0,1000-4999,,4.0,99,"To survive in compitative and fast changing professional environments with the academically acquired knowledge, skills and confidence. Also to gain and exchange ideologies in professionally sound surroundings.",1
92,92,3562,114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,20.0,1000-4999,Pvt Ltd,2.0,41,NONE,2
93,93,8488,101,0.5579999999999999,Male,Has relevent experience,Part time course,Masters,STEM,3.0,,,2.0,258," Innovative team player and mentor with a passion for continuous learning and solid 
background in Object-Oriented programming, customer service skills, and knowledge of 
end-to-end systems development life cycles with tailored agile ceremonies. 
 
 Individual with well-honed skills in computer science and technical expertise in the 
support of specialized programming projects using web based and client server tools. 
Coming with ability to design, develop, maintain and test software applications under 
little or no supervision with continuous changing requirements.",2
94,94,8373,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17.0,1000-4999,Pvt Ltd,3.0,144,NONE,1
95,95,2934,75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Phd,STEM,20.0,1000-4999,Pvt Ltd,3.0,328,NONE,1
96,96,12919,103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4.0,,,1.0,47,"To grab an opportunity and set myself a goal where I can be innovative 
and attain a challenging position by exercising my interpersonal and professional 
skills to the fullest for the growth of the organization and mine as well.",2
97,97,4386,21,0.624,Male,No relevent experience,Full time course,High School,,3.0, 10,Early Stage Startup,2.0,36,NONE,2
98,98,22462,21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,9.0,10000+,NGO,1.0,30,"To enhance my working capacities, professional skills, business efficiencies and to serve my 
organization in the best possible way with sheer determination and commitment.",2
99,99,13988,103,0.92,,Has relevent experience,Part time course,Masters,STEM,16.0,10000+,Pvt Ltd,4.0,36,NONE,2
100,100,21230,103,0.92,,No relevent experience,no_enrollment,High School,,3.0,,,4.0,41,NONE,2
101,101,26180,139,0.48700000000000004,Male,No relevent experience,Full time course,Graduate,STEM,1.0,10/49,Pvt Ltd,0.0,64,"Seeking an opportunity which utilize my Technical as well as Creative Knowledge and Potential to the maximum as well as enable me to show my talent, team work and help me to polish my skills. 
 
Technical Experience 
 
Servers and Operating Systems: Windows 7 and UNIX-Basics 
Languages: C\C++, SQL, JavaScript, JQuery, Css, Html, Java-Basics 
Databases: SQL, Oracle 
Development Tools: Netbeans, ecliips, Wamp server",2
102,102,16658,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,16.0,50-99,Pvt Ltd,1.0,55,"I would like to take a challenging position in an esteemed organization, where my 
knowledge and skills would greatly enhance the company's success and my own personal 
growth",2
103,103,10324,16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,20.0,10000+,Pvt Ltd,2.0,12,"Looking forward for my better professional career options. And curious to learn on working on real projects. Want to work with team and to learn new things in professional ways. 
 
Aptech Certified Web Development Professional Diploma (ACWD pro) 
Currently working on projects - Institute Management System 
Languages used in management system are: Core Java, Servlet, JSP, Hibernate Framework, Mysql.",2
104,104,20453,27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,3.0,50-99,Pvt Ltd,0.0,4," Having 3+ years of experience in software development using Java/J2EE Technologies 
 Good knowledge of Object-Oriented Programming concepts (Oops) 
 Good knowledge of Core Java, Exception Handling, Collection Frameworks. 
 Good knowledge of working with Spring, Hibernate 
 Hands on experience in using Apache Tomcat server 
 Hands on experience in using Eclipse, Maven, GIT hub 
 Knowledge of Oracle 11g. Database 
 Knowledge of Web Services 
 Adaptive to learn new technologies.",2
105,105,13485,136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,100-500,Pvt Ltd,2.0,23,Looking for a position in a challenging environment within a team or individuals where I can constantly learn and utilize and enhance my own technical or management skills.,2
106,106,33080,16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20.0,50-99,Pvt Ltd,0.0,32,Overall 3.2 years of experience in Software development field and 2.5 years of experience in JAVA and J2EE base application. Hands on experience in Python and Node JS.,2
107,107,25492,103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,20.0,,,1.0,10,Intend to build a career with leading corporate of Hi-Tech environment with committed and dedicated people which will help to explore myself fully and realize my potential.,2
108,108,1319,71,0.884,Male,No relevent experience,Part time course,Graduate,STEM,1.0,,,4.0,18,"Experienced Web Developer is adept in all stages of advanced web development. Knowledgeable in a user interface, testing, and debugging processes. Bringing forth expertise in the development, installation, testing, and maintenance of web systems.",2
109,109,19146,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18.0,50-99,,1.0,43,"To pursue a career in a leading and progressive organization offering opportunities wherein I can utilise my skills, knowledge and qualifications towards the growth of the organisation.",2
110,110,29339,67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15.0,50-99,Pvt Ltd,0.0,5,NONE,2
